id,user_id,umkm_id,role,created_at
ROLE051,USR051,UMKM051,owner,2023-06-03 14:14:27
ROLE052,USR052,UMKM052,owner,2022-07-02 04:56:32
ROLE053,USR053,UMKM053,owner,2022-12-03 16:43:17
ROLE054,USR054,UMKM054,owner,2023-10-22 22:02:15
ROLE055,USR055,UMKM055,owner,2021-06-14 22:19:04
ROLE056,USR056,UMKM056,owner,2023-06-07 10:30:20
ROLE057,USR057,UMKM057,owner,2021-11-30 06:42:28
ROLE058,USR058,UMKM058,owner,2021-04-08 22:13:12
ROLE059,USR059,UMKM059,owner,2022-06-17 04:15:20
ROLE060,USR060,UMKM060,owner,2022-12-07 09:12:18
ROLE061,USR061,UMKM061,owner,2023-12-12 11:31:43
ROLE062,USR062,UMKM062,owner,2021-09-02 01:29:11
ROLE063,USR063,UMKM063,owner,2021-03-31 23:38:19
ROLE064,USR064,UMKM064,owner,2022-07-22 10:38:42
ROLE065,USR065,UMKM065,owner,2021-09-28 02:35:57
ROLE066,USR066,UMKM066,owner,2021-10-10 01:35:26
ROLE067,USR067,UMKM067,owner,2022-10-22 14:29:45
ROLE068,USR068,UMKM068,owner,2021-09-28 08:09:32
ROLE069,USR069,UMKM069,owner,2023-01-31 04:46:45
ROLE070,USR070,UMKM070,owner,2022-01-03 13:32:29
ROLE071,USR071,UMKM071,owner,2021-05-12 20:22:35
ROLE072,USR072,UMKM072,owner,2023-11-24 14:21:17
ROLE073,USR073,UMKM073,owner,2022-03-04 19:27:30
ROLE074,USR074,UMKM074,owner,2023-07-28 18:42:18
ROLE075,USR075,UMKM075,owner,2023-03-12 11:38:01
ROLE076,USR076,UMKM076,owner,2022-11-23 10:03:09
ROLE077,USR077,UMKM077,owner,2023-11-16 19:33:34
ROLE078,USR078,UMKM078,owner,2022-06-26 22:59:58
ROLE079,USR079,UMKM079,owner,2022-04-18 13:20:32
ROLE080,USR080,UMKM080,owner,2022-04-25 07:47:29
ROLE081,USR081,UMKM081,owner,2023-12-14 04:51:35
ROLE082,USR082,UMKM082,owner,2023-05-05 04:43:47
ROLE083,USR083,UMKM083,owner,2023-08-24 10:12:57
ROLE084,USR084,UMKM084,owner,2023-04-02 02:25:52
ROLE085,USR085,UMKM085,owner,2023-11-20 12:24:10
ROLE086,USR086,UMKM086,owner,2021-05-29 01:59:37
ROLE087,USR087,UMKM087,owner,2021-11-12 08:35:07
ROLE088,USR088,UMKM088,owner,2021-05-17 03:29:59
ROLE089,USR089,UMKM089,owner,2024-01-05 18:40:05
ROLE090,USR090,UMKM090,owner,2021-01-11 14:43:32
ROLE091,USR091,UMKM091,owner,2022-11-16 11:32:56
ROLE092,USR092,UMKM092,owner,2021-03-23 01:07:37
ROLE093,USR093,UMKM093,owner,2023-01-13 19:38:19
ROLE094,USR094,UMKM094,owner,2022-12-01 13:16:59
ROLE095,USR095,UMKM095,owner,2023-05-12 02:26:48
ROLE096,USR096,UMKM096,owner,2022-02-23 16:04:40
ROLE097,USR097,UMKM097,owner,2023-03-31 20:01:56
ROLE098,USR098,UMKM098,owner,2022-04-04 20:53:03
ROLE099,USR099,UMKM099,owner,2021-08-15 23:01:32
ROLE100,USR100,UMKM100,owner,2021-04-23 19:05:30
ROLE101,USR101,UMKM101,owner,2021-11-29 08:20:41
ROLE102,USR102,UMKM102,owner,2023-12-19 11:20:35
ROLE103,USR103,UMKM103,owner,2021-02-07 04:26:18
ROLE104,USR104,UMKM104,owner,2022-11-07 22:33:44
ROLE105,USR105,UMKM105,owner,2022-01-06 14:56:42
ROLE106,USR106,UMKM106,owner,2023-11-07 01:51:57
ROLE107,USR107,UMKM107,owner,2021-08-16 07:02:32
ROLE108,USR108,UMKM108,owner,2023-10-30 22:41:21
ROLE109,USR109,UMKM109,owner,2021-11-01 07:49:57
ROLE110,USR110,UMKM110,owner,2022-06-19 07:49:56
ROLE111,USR111,UMKM111,owner,2022-11-10 21:23:33
ROLE112,USR112,UMKM112,owner,2021-04-06 22:05:31
ROLE113,USR113,UMKM113,owner,2023-10-22 11:34:29
ROLE114,USR114,UMKM114,owner,2021-02-09 16:43:19
ROLE115,USR115,UMKM115,owner,2023-06-26 02:48:35
ROLE116,USR116,UMKM116,owner,2021-10-16 15:43:57
ROLE117,USR117,UMKM117,owner,2021-10-07 09:52:54
ROLE118,USR118,UMKM118,owner,2023-06-23 11:39:28
ROLE119,USR119,UMKM119,owner,2021-11-07 02:52:12
ROLE120,USR120,UMKM120,owner,2024-01-14 01:36:20
ROLE121,USR121,UMKM121,owner,2023-06-03 04:05:41
ROLE122,USR122,UMKM122,owner,2021-05-03 03:11:36
ROLE123,USR123,UMKM123,owner,2021-06-20 23:30:27
ROLE124,USR124,UMKM124,owner,2021-09-16 16:13:24
ROLE125,USR125,UMKM125,owner,2023-09-14 18:53:36
ROLE126,USR126,UMKM126,owner,2023-07-14 09:56:17
ROLE127,USR127,UMKM127,owner,2022-03-11 07:53:55
ROLE128,USR128,UMKM128,owner,2023-11-16 00:17:18
ROLE129,USR129,UMKM129,owner,2023-02-05 09:27:44
ROLE130,USR130,UMKM130,owner,2023-08-12 02:16:10
ROLE131,USR131,UMKM131,owner,2021-11-15 19:41:59
ROLE132,USR132,UMKM132,owner,2022-01-29 08:50:32
ROLE133,USR133,UMKM133,owner,2021-02-06 19:35:31
ROLE134,USR134,UMKM134,owner,2023-11-23 11:02:25
ROLE135,USR135,UMKM135,owner,2023-05-23 00:45:10
ROLE136,USR136,UMKM136,owner,2022-01-24 03:07:52
ROLE137,USR137,UMKM137,owner,2023-12-30 04:07:44
ROLE138,USR138,UMKM138,owner,2023-07-29 22:01:34
ROLE139,USR139,UMKM139,owner,2021-10-30 14:00:40
ROLE140,USR140,UMKM140,owner,2021-07-28 15:52:17
ROLE141,USR141,UMKM141,owner,2021-08-07 04:55:26
ROLE142,USR142,UMKM142,owner,2023-06-18 19:36:55
ROLE143,USR143,UMKM143,owner,2021-04-09 20:24:46
ROLE144,USR144,UMKM144,owner,2022-09-20 11:45:22
ROLE145,USR145,UMKM145,owner,2021-08-24 19:18:20
ROLE146,USR146,UMKM146,owner,2021-07-11 01:02:39
ROLE147,USR147,UMKM147,owner,2022-01-03 14:27:34
ROLE148,USR148,UMKM148,owner,2023-07-06 06:26:26
ROLE149,USR149,UMKM149,owner,2021-06-23 04:32:44
ROLE150,USR150,UMKM150,owner,2021-05-16 03:15:17
ROLE151,USR151,UMKM151,owner,2022-10-11 14:52:20
ROLE152,USR152,UMKM152,owner,2022-04-11 13:59:43
ROLE153,USR153,UMKM153,owner,2022-01-26 14:52:12
ROLE154,USR154,UMKM154,owner,2021-11-17 07:53:05
ROLE155,USR155,UMKM155,owner,2022-03-18 15:45:46
ROLE156,USR156,UMKM156,owner,2023-07-21 09:33:58
ROLE157,USR157,UMKM157,owner,2023-01-24 03:07:36
ROLE158,USR158,UMKM158,owner,2023-05-12 20:44:18
ROLE159,USR159,UMKM159,owner,2022-06-14 17:50:10
ROLE160,USR160,UMKM160,owner,2023-06-21 13:40:37
ROLE161,USR161,UMKM161,owner,2022-03-03 16:48:57
ROLE162,USR162,UMKM162,owner,2023-10-20 02:55:03
ROLE163,USR163,UMKM163,owner,2023-09-19 02:37:22
ROLE164,USR164,UMKM164,owner,2022-06-07 19:18:15
ROLE165,USR165,UMKM165,owner,2023-12-17 14:07:44
ROLE166,USR166,UMKM166,owner,2023-05-12 14:02:17
ROLE167,USR167,UMKM167,owner,2022-09-25 21:24:17
ROLE168,USR168,UMKM168,owner,2023-04-27 22:02:19
ROLE169,USR169,UMKM169,owner,2023-03-11 09:12:11
ROLE170,USR170,UMKM170,owner,2021-07-29 12:50:37
ROLE171,USR171,UMKM171,owner,2021-02-17 21:09:50
ROLE172,USR172,UMKM172,owner,2022-05-05 18:04:17
ROLE173,USR173,UMKM173,owner,2021-07-09 06:10:13
ROLE174,USR174,UMKM174,owner,2022-04-27 10:00:15
ROLE175,USR175,UMKM175,owner,2023-01-11 14:00:46
ROLE176,USR176,UMKM176,owner,2023-07-29 03:10:59
ROLE177,USR177,UMKM177,owner,2022-10-20 14:18:29
ROLE178,USR178,UMKM178,owner,2022-04-13 09:05:05
ROLE179,USR179,UMKM179,owner,2023-02-28 16:04:54
ROLE180,USR180,UMKM180,owner,2023-06-07 09:16:21
ROLE181,USR181,UMKM181,owner,2021-11-08 01:48:12
ROLE182,USR182,UMKM182,owner,2022-10-06 03:35:20
ROLE183,USR183,UMKM183,owner,2022-08-29 05:45:38
ROLE184,USR184,UMKM184,owner,2021-09-24 07:04:50
ROLE185,USR185,UMKM185,owner,2022-06-14 17:51:34
ROLE186,USR186,UMKM186,owner,2022-12-23 19:38:48
ROLE187,USR187,UMKM187,owner,2021-09-07 19:50:12
ROLE188,USR188,UMKM188,owner,2023-12-18 02:27:57
ROLE189,USR189,UMKM189,owner,2023-04-19 23:48:54
ROLE190,USR190,UMKM190,owner,2023-02-16 00:23:02
ROLE191,USR191,UMKM191,owner,2023-12-30 04:48:55
ROLE192,USR192,UMKM192,owner,2021-06-21 22:45:32
ROLE193,USR193,UMKM193,owner,2023-12-21 03:12:19
ROLE194,USR194,UMKM194,owner,2022-04-16 17:49:36
ROLE195,USR195,UMKM195,owner,2023-06-03 04:12:38
ROLE196,USR196,UMKM196,owner,2022-09-06 06:27:06
ROLE197,USR197,UMKM197,owner,2022-01-20 16:52:45
ROLE198,USR198,UMKM198,owner,2022-12-26 18:51:54
ROLE199,USR199,UMKM199,owner,2022-07-17 20:29:12
ROLE200,USR200,UMKM200,owner,2022-12-17 17:04:24
ROLE201,USR201,UMKM201,owner,2021-07-07 16:49:19
ROLE202,USR202,UMKM202,owner,2024-01-01 07:51:49
ROLE203,USR203,UMKM203,owner,2023-06-02 03:39:46
ROLE204,USR204,UMKM204,owner,2023-08-03 01:15:21
ROLE205,USR205,UMKM205,owner,2022-01-11 12:21:07
ROLE206,USR206,UMKM206,owner,2022-02-22 08:23:39
ROLE207,USR207,UMKM207,owner,2021-08-15 12:20:58
ROLE208,USR208,UMKM208,owner,2022-11-26 19:11:47
ROLE209,USR209,UMKM209,owner,2022-04-25 10:59:54
ROLE210,USR210,UMKM210,owner,2023-05-13 22:38:43
ROLE211,USR211,UMKM211,owner,2021-10-12 14:48:38
ROLE212,USR212,UMKM212,owner,2022-04-10 12:28:14
ROLE213,USR213,UMKM213,owner,2021-05-21 23:35:49
ROLE214,USR214,UMKM214,owner,2023-12-04 16:36:11
ROLE215,USR215,UMKM215,owner,2022-09-16 23:31:21
ROLE216,USR216,UMKM216,owner,2023-11-22 11:26:54
ROLE217,USR217,UMKM217,owner,2021-07-11 08:09:07
ROLE218,USR218,UMKM218,owner,2023-08-30 17:55:46
ROLE219,USR219,UMKM219,owner,2024-01-04 02:57:04
ROLE220,USR220,UMKM220,owner,2021-03-05 20:13:07
ROLE221,USR221,UMKM221,owner,2023-05-13 01:46:24
ROLE222,USR222,UMKM222,owner,2024-01-11 23:11:18
ROLE223,USR223,UMKM223,owner,2022-10-25 12:05:58
ROLE224,USR224,UMKM224,owner,2022-04-10 14:18:06
ROLE225,USR225,UMKM225,owner,2022-02-01 19:20:01
ROLE226,USR226,UMKM226,owner,2023-10-07 16:53:09
ROLE227,USR227,UMKM227,owner,2023-01-05 09:21:32
ROLE228,USR228,UMKM228,owner,2021-02-19 04:49:49
ROLE229,USR229,UMKM229,owner,2023-06-22 01:06:33
ROLE230,USR230,UMKM230,owner,2021-12-06 11:43:59
ROLE231,USR231,UMKM231,owner,2023-08-04 20:11:21
ROLE232,USR232,UMKM232,owner,2023-04-29 05:24:31
ROLE233,USR233,UMKM233,owner,2021-08-03 18:45:50
ROLE234,USR234,UMKM234,owner,2021-02-06 13:04:41
ROLE235,USR235,UMKM235,owner,2021-07-04 13:25:11
ROLE236,USR236,UMKM236,owner,2023-08-09 06:05:24
ROLE237,USR237,UMKM237,owner,2023-10-27 14:05:13
ROLE238,USR238,UMKM238,owner,2023-01-31 02:36:23
ROLE239,USR239,UMKM239,owner,2022-11-26 01:52:08
ROLE240,USR240,UMKM240,owner,2021-07-21 01:45:48
ROLE241,USR241,UMKM241,owner,2022-08-26 17:31:42
ROLE242,USR242,UMKM242,owner,2021-06-14 01:44:27
ROLE243,USR243,UMKM243,owner,2023-06-05 11:59:01
ROLE244,USR244,UMKM244,owner,2022-10-31 20:19:17
ROLE245,USR245,UMKM245,owner,2022-05-11 13:08:49
ROLE246,USR246,UMKM246,owner,2023-12-14 22:33:38
ROLE247,USR247,UMKM247,owner,2022-11-12 22:10:25
ROLE248,USR248,UMKM248,owner,2021-04-25 05:11:10
ROLE249,USR249,UMKM249,owner,2022-10-17 05:03:21
ROLE250,USR250,UMKM250,owner,2021-03-25 22:37:55
ROLE251,USR251,UMKM251,owner,2023-03-20 06:02:39
ROLE252,USR252,UMKM252,owner,2022-07-12 22:09:44
ROLE253,USR253,UMKM253,owner,2021-12-23 08:28:19
ROLE254,USR254,UMKM254,owner,2023-08-27 19:46:36
ROLE255,USR255,UMKM255,owner,2023-11-12 22:24:32
ROLE256,USR256,UMKM256,owner,2022-05-16 23:51:02
ROLE257,USR257,UMKM257,owner,2023-11-05 04:15:03
ROLE258,USR258,UMKM258,owner,2021-05-24 13:50:27
ROLE259,USR259,UMKM259,owner,2021-09-08 13:07:35
ROLE260,USR260,UMKM260,owner,2023-07-28 05:48:00
ROLE261,USR261,UMKM261,owner,2021-03-30 08:00:48
ROLE262,USR262,UMKM262,owner,2023-08-15 01:45:02
ROLE263,USR263,UMKM263,owner,2022-07-14 05:39:36
ROLE264,USR264,UMKM264,owner,2023-04-14 13:57:38
ROLE265,USR265,UMKM265,owner,2021-04-26 02:32:10
ROLE266,USR266,UMKM266,owner,2022-02-08 22:35:27
ROLE267,USR267,UMKM267,owner,2021-08-11 16:25:31
ROLE268,USR268,UMKM268,owner,2023-12-03 19:38:27
ROLE269,USR269,UMKM269,owner,2022-12-08 15:28:43
ROLE270,USR270,UMKM270,owner,2022-11-22 21:11:41
ROLE271,USR271,UMKM271,owner,2022-10-02 05:12:56
ROLE272,USR272,UMKM272,owner,2023-01-10 17:46:20
ROLE273,USR273,UMKM273,owner,2021-07-12 10:57:49
ROLE274,USR274,UMKM274,owner,2022-05-09 00:07:26
ROLE275,USR275,UMKM275,owner,2023-03-21 01:07:46
ROLE276,USR276,UMKM276,owner,2022-07-02 18:13:14
ROLE277,USR277,UMKM277,owner,2022-01-16 00:52:28
ROLE278,USR278,UMKM278,owner,2023-11-03 07:32:50
ROLE279,USR279,UMKM279,owner,2023-06-23 18:03:55
ROLE280,USR280,UMKM280,owner,2023-10-08 20:51:22
ROLE281,USR281,UMKM281,owner,2022-06-02 03:12:44
ROLE282,USR282,UMKM282,owner,2022-03-24 17:34:35
ROLE283,USR283,UMKM283,owner,2023-01-01 01:21:12
ROLE284,USR284,UMKM284,owner,2021-06-15 07:13:51
ROLE285,USR285,UMKM285,owner,2021-03-27 18:26:15
ROLE286,USR286,UMKM286,owner,2023-08-05 20:49:08
ROLE287,USR287,UMKM287,owner,2022-06-21 12:43:17
ROLE288,USR288,UMKM288,owner,2022-12-03 01:25:40
ROLE289,USR289,UMKM289,owner,2022-03-31 11:49:13
ROLE290,USR290,UMKM290,owner,2023-09-30 01:55:22
ROLE291,USR291,UMKM291,owner,2022-08-28 12:18:29
ROLE292,USR292,UMKM292,owner,2023-08-20 07:14:53
ROLE293,USR293,UMKM293,owner,2022-07-05 10:41:51
ROLE294,USR294,UMKM294,owner,2023-08-12 09:25:41
ROLE295,USR295,UMKM295,owner,2022-05-30 06:35:36
ROLE296,USR296,UMKM296,owner,2023-12-12 18:59:08
ROLE297,USR297,UMKM297,owner,2022-07-30 02:26:45
ROLE298,USR298,UMKM298,owner,2023-02-07 10:08:38
ROLE299,USR299,UMKM299,owner,2021-07-03 03:14:03
ROLE300,USR300,UMKM300,owner,2021-03-19 16:19:42
ROLE301,USR301,UMKM301,owner,2022-08-16 06:08:05
ROLE302,USR302,UMKM302,owner,2021-09-20 04:01:50
ROLE303,USR303,UMKM303,owner,2022-01-09 23:48:03
ROLE304,USR304,UMKM304,owner,2022-12-15 09:58:51
ROLE305,USR305,UMKM305,owner,2023-01-02 14:33:08
ROLE306,USR306,UMKM306,owner,2022-11-26 10:52:42
ROLE307,USR307,UMKM307,owner,2022-11-04 09:16:24
ROLE308,USR308,UMKM308,owner,2022-01-28 09:15:43
ROLE309,USR309,UMKM309,owner,2021-07-04 09:49:20
ROLE310,USR310,UMKM310,owner,2021-09-26 01:07:37
ROLE311,USR311,UMKM311,owner,2021-06-08 12:13:46
ROLE312,USR312,UMKM312,owner,2021-03-01 10:43:12
ROLE313,USR313,UMKM313,owner,2021-06-02 18:34:16
ROLE314,USR314,UMKM314,owner,2023-10-23 17:00:26
ROLE315,USR315,UMKM315,owner,2023-01-26 22:46:47
ROLE316,USR316,UMKM316,owner,2023-08-25 22:24:45
ROLE317,USR317,UMKM317,owner,2023-05-11 13:51:18
ROLE318,USR318,UMKM318,owner,2022-04-03 13:53:19
ROLE319,USR319,UMKM319,owner,2023-08-30 12:25:39
ROLE320,USR320,UMKM320,owner,2023-05-05 17:35:01
ROLE321,USR321,UMKM321,owner,2022-04-16 11:49:24
ROLE322,USR322,UMKM322,owner,2023-11-12 01:50:26
ROLE323,USR323,UMKM323,owner,2023-04-03 05:07:03
ROLE324,USR324,UMKM324,owner,2022-09-15 13:17:12
ROLE325,USR325,UMKM325,owner,2022-02-10 01:46:01
ROLE326,USR326,UMKM326,owner,2023-11-09 19:31:39
ROLE327,USR327,UMKM327,owner,2021-08-04 06:44:12
ROLE328,USR328,UMKM328,owner,2023-12-21 15:17:58
ROLE329,USR329,UMKM329,owner,2021-08-09 11:45:07
ROLE330,USR330,UMKM330,owner,2021-11-20 04:33:25
ROLE331,USR331,UMKM331,owner,2022-05-13 16:41:00
ROLE332,USR332,UMKM332,owner,2021-03-25 22:00:16
ROLE333,USR333,UMKM333,owner,2021-03-20 06:55:48
ROLE334,USR334,UMKM334,owner,2022-11-18 19:21:41
ROLE335,USR335,UMKM335,owner,2022-06-28 16:13:05
ROLE336,USR336,UMKM336,owner,2023-04-02 16:03:25
ROLE337,USR337,UMKM337,owner,2023-08-22 21:55:12
ROLE338,USR338,UMKM338,owner,2022-06-22 10:05:24
ROLE339,USR339,UMKM339,owner,2021-09-17 21:13:02
ROLE340,USR340,UMKM340,owner,2022-07-28 16:29:49
ROLE341,USR341,UMKM341,owner,2021-04-17 03:17:49
ROLE342,USR342,UMKM342,owner,2023-11-23 10:51:48
ROLE343,USR343,UMKM343,owner,2022-11-13 16:29:01
ROLE344,USR344,UMKM344,owner,2022-07-22 14:01:08
ROLE345,USR345,UMKM345,owner,2022-08-30 07:26:33
ROLE346,USR346,UMKM346,owner,2022-08-12 01:41:08
ROLE347,USR347,UMKM347,owner,2021-02-26 06:42:09
ROLE348,USR348,UMKM348,owner,2021-07-12 22:39:53
ROLE349,USR349,UMKM349,owner,2023-09-07 13:03:05
ROLE350,USR350,UMKM350,owner,2021-08-16 20:32:19
ROLE351,USR351,UMKM351,owner,2021-06-14 09:56:33
ROLE352,USR352,UMKM352,owner,2022-07-23 17:52:13
ROLE353,USR353,UMKM353,owner,2021-09-23 16:27:16
ROLE354,USR354,UMKM354,owner,2022-07-24 13:45:19
ROLE355,USR355,UMKM355,owner,2022-01-29 18:58:52
ROLE356,USR356,UMKM356,owner,2023-01-20 02:18:09
ROLE357,USR357,UMKM357,owner,2021-05-13 04:06:01
ROLE358,USR358,UMKM358,owner,2022-10-06 04:30:07
ROLE359,USR359,UMKM359,owner,2022-06-02 12:16:53
ROLE360,USR360,UMKM360,owner,2021-08-13 08:39:39
ROLE361,USR361,UMKM361,owner,2021-08-18 10:58:50
ROLE362,USR362,UMKM362,owner,2023-04-02 21:08:51
ROLE363,USR363,UMKM363,owner,2021-12-20 06:17:29
ROLE364,USR364,UMKM364,owner,2021-05-28 12:14:37
ROLE365,USR365,UMKM365,owner,2023-09-05 23:05:21
ROLE366,USR366,UMKM366,owner,2023-07-20 08:29:04
ROLE367,USR367,UMKM367,owner,2023-08-11 02:03:49
ROLE368,USR368,UMKM368,owner,2021-02-28 02:01:25
ROLE369,USR369,UMKM369,owner,2023-10-23 12:00:06
ROLE370,USR370,UMKM370,owner,2023-02-16 16:54:16
ROLE371,USR371,UMKM371,owner,2023-02-11 06:24:16
ROLE372,USR372,UMKM372,owner,2021-05-12 08:38:53
ROLE373,USR373,UMKM373,owner,2021-11-17 22:39:45
ROLE374,USR374,UMKM374,owner,2022-06-30 12:20:51
ROLE375,USR375,UMKM375,owner,2021-07-03 23:11:26
ROLE376,USR376,UMKM376,owner,2021-08-30 21:07:56
ROLE377,USR377,UMKM377,owner,2022-10-14 14:01:35
ROLE378,USR378,UMKM378,owner,2023-07-12 09:59:01
ROLE379,USR379,UMKM379,owner,2023-03-14 14:56:58
ROLE380,USR380,UMKM380,owner,2023-03-22 04:40:07
ROLE381,USR381,UMKM381,owner,2021-04-12 12:17:58
ROLE382,USR382,UMKM382,owner,2023-01-15 00:55:58
ROLE383,USR383,UMKM383,owner,2022-02-20 20:31:51
ROLE384,USR384,UMKM384,owner,2021-04-03 11:20:48
ROLE385,USR385,UMKM385,owner,2022-09-09 04:15:41
ROLE386,USR386,UMKM386,owner,2023-09-26 04:54:48
ROLE387,USR387,UMKM387,owner,2022-09-01 18:16:32
ROLE388,USR388,UMKM388,owner,2021-08-20 03:13:37
ROLE389,USR389,UMKM389,owner,2021-03-14 10:56:04
ROLE390,USR390,UMKM390,owner,2021-09-03 09:41:37
ROLE391,USR391,UMKM391,owner,2022-05-18 19:43:37
ROLE392,USR392,UMKM392,owner,2023-07-22 08:09:34
ROLE393,USR393,UMKM393,owner,2023-06-07 11:48:15
ROLE394,USR394,UMKM394,owner,2022-11-02 02:33:48
ROLE395,USR395,UMKM395,owner,2023-09-23 12:54:52
ROLE396,USR396,UMKM396,owner,2023-07-07 15:37:10
ROLE397,USR397,UMKM397,owner,2023-03-29 09:24:52
ROLE398,USR398,UMKM398,owner,2023-11-25 11:26:17
ROLE399,USR399,UMKM399,owner,2022-10-19 13:43:40
ROLE400,USR400,UMKM400,owner,2023-08-17 22:05:15
ROLE401,USR401,UMKM401,owner,2021-08-31 12:19:17
ROLE402,USR402,UMKM402,owner,2023-04-09 08:12:29
ROLE403,USR403,UMKM403,owner,2022-06-24 19:31:34
ROLE404,USR404,UMKM404,owner,2023-09-29 08:20:05
ROLE405,USR405,UMKM405,owner,2022-02-11 23:39:58
ROLE406,USR406,UMKM406,owner,2022-05-08 08:42:30
ROLE407,USR407,UMKM407,owner,2022-05-24 13:06:08
ROLE408,USR408,UMKM408,owner,2022-03-14 20:09:09
ROLE409,USR409,UMKM409,owner,2022-09-21 21:56:09
ROLE410,USR410,UMKM410,owner,2021-04-03 08:54:08
ROLE411,USR411,UMKM411,owner,2023-10-20 00:43:38
ROLE412,USR412,UMKM412,owner,2022-03-05 05:02:37
ROLE413,USR413,UMKM413,owner,2023-07-18 15:18:36
ROLE414,USR414,UMKM414,owner,2023-09-29 00:18:51
ROLE415,USR415,UMKM415,owner,2021-06-23 04:38:08
ROLE416,USR416,UMKM416,owner,2021-09-15 08:58:12
ROLE417,USR417,UMKM417,owner,2023-10-22 14:44:25
ROLE418,USR418,UMKM418,owner,2021-04-22 22:09:27
ROLE419,USR419,UMKM419,owner,2021-03-29 23:01:45
ROLE420,USR420,UMKM420,owner,2021-03-15 11:33:51
ROLE421,USR421,UMKM421,owner,2022-04-09 16:12:39
ROLE422,USR422,UMKM422,owner,2022-06-07 11:47:31
ROLE423,USR423,UMKM423,owner,2021-08-24 12:05:11
ROLE424,USR424,UMKM424,owner,2022-06-18 17:45:48
ROLE425,USR425,UMKM425,owner,2021-02-09 21:33:48
ROLE426,USR426,UMKM426,owner,2021-11-01 01:38:29
ROLE427,USR427,UMKM427,owner,2022-11-23 10:52:58
ROLE428,USR428,UMKM428,owner,2021-08-30 10:28:26
ROLE429,USR429,UMKM429,owner,2022-01-02 21:12:07
ROLE430,USR430,UMKM430,owner,2023-06-24 23:02:56
ROLE431,USR431,UMKM431,owner,2023-11-26 09:01:15
ROLE432,USR432,UMKM432,owner,2024-01-16 22:34:26
ROLE433,USR433,UMKM433,owner,2022-04-12 07:55:56
ROLE434,USR434,UMKM434,owner,2021-09-14 23:27:18
ROLE435,USR435,UMKM435,owner,2023-05-22 05:35:47
ROLE436,USR436,UMKM436,owner,2022-01-02 07:38:31
